                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4595,                 3.9668,                 1.3255,                0.44076,                0.40514,                0.35014,                0.18779,                 1.6103,                 2.2736,                 1.3405,             0.00054816,             0.00054816,             0.00054816
                      2,                 1.3445,                 1.8696,                 1.2323,                0.35088,                 0.7419,                0.42298,                0.25077,                 1.3833,                 1.9808,                 1.3311,              0.0010893,              0.0010893,              0.0010893
                      3,                 1.3235,                  1.803,                 1.2322,                0.13114,                0.24324,                 0.0886,                 0.0484,                  1.855,                 4.0378,                 2.1002,              0.0016157,              0.0016157,              0.0016157
                      4,                 1.3217,                 1.6512,                 1.2095,                0.45222,                0.77878,                0.48719,                0.31963,                 1.1531,                 1.7449,                 1.2025,               0.001601,               0.001601,               0.001601
                      5,                 1.2752,                 1.5148,                 1.2168,                0.46283,                 0.7755,                0.48401,                0.33493,                 1.1557,                 1.3469,                 1.1755,               0.001579,               0.001579,               0.001579
                      6,                 1.2097,                 1.4286,                 1.1789,                 0.4399,                0.82783,                0.54348,                0.38085,                 1.1021,                 1.2205,                  1.131,               0.001557,               0.001557,               0.001557
                      7,                 1.2094,                  1.383,                 1.1545,                 0.4539,                0.81059,                 0.4907,                0.33455,                 1.1591,                 1.3145,                 1.1536,               0.001535,               0.001535,               0.001535
                      8,                 1.1719,                  1.342,                 1.1446,                0.46878,                0.82635,                0.48554,                0.31911,                 1.2193,                  1.266,                   1.16,               0.001513,               0.001513,               0.001513
                      9,                 1.1585,                 1.3333,                 1.1421,                 0.4497,                0.84419,                0.50816,                0.35824,                 1.1207,                 1.2495,                 1.1375,               0.001491,               0.001491,               0.001491
                     10,                 1.1495,                 1.3321,                 1.1559,                0.45139,                0.83631,                0.49225,                0.33093,                 1.1534,                 1.2349,                 1.1727,               0.001469,               0.001469,               0.001469
                     11,                 1.1709,                 1.3521,                 1.1464,                0.43767,                0.86961,                0.50264,                0.35547,                 1.0263,                 1.1924,                 1.0615,               0.001447,               0.001447,               0.001447
                     12,                 1.0984,                 1.2802,                 1.0932,                0.45697,                0.83957,                0.50421,                0.36351,                 1.0057,                 1.2124,                 1.0653,               0.001425,               0.001425,               0.001425
                     13,                 1.1296,                 1.2653,                 1.1303,                0.43229,                0.78618,                 0.4678,                0.32604,                 1.0723,                  1.209,                 1.1059,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1065,                 1.2666,                 1.1141,                0.46118,                0.77035,                0.50622,                 0.3465,                 1.1292,                 1.2159,                 1.1425,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0994,                 1.2467,                 1.1066,                0.45017,                0.85326,                0.51631,                0.36535,                 1.0788,                 1.1786,                 1.1124,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0796,                   1.24,                 1.1028,                 0.4561,                0.82734,                0.48301,                0.34341,                 1.0731,                 1.1522,                 1.1121,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.1244,                 1.2312,                 1.1285,                 0.4771,                0.84419,                0.52293,                0.35689,                 1.0974,                 1.1417,                 1.1316,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0831,                 1.1851,                  1.097,                0.46648,                0.87693,                0.53286,                0.37587,                 1.0943,                 1.1214,                 1.1066,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.0544,                 1.1929,                 1.0788,                0.47044,                0.88745,                0.51917,                0.36485,                 1.0754,                 1.1276,                 1.1149,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.0407,                 1.2037,                 1.0783,                0.47622,                0.82107,                0.51828,                0.36801,                 1.0612,                  1.148,                 1.1095,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.0221,                 1.1805,                 1.0705,                0.45242,                0.88183,                0.50815,                0.35858,                 1.0558,                 1.1258,                 1.0917,              0.0012269,              0.0012269,              0.0012269
                     22,                0.98804,                 1.1523,                 1.0557,                0.44791,                0.93072,                 0.5504,                0.39397,                 1.0307,                  1.088,                 1.1059,              0.0012049,              0.0012049,              0.0012049
                     23,                 0.9952,                 1.1453,                 1.0479,                0.45363,                0.85326,                0.53897,                0.38917,                 1.0593,                 1.1479,                 1.1032,              0.0011829,              0.0011829,              0.0011829
                     24,                0.97948,                  1.109,                 1.0466,                0.47191,                 0.8708,                0.53535,                0.36496,                 1.1353,                 1.1074,                 1.1577,              0.0011609,              0.0011609,              0.0011609
                     25,                0.97576,                 1.1449,                 1.0626,                0.47787,                0.86431,                  0.571,                0.40334,                 1.0205,                 1.0633,                 1.0894,              0.0011389,              0.0011389,              0.0011389
                     26,                0.99765,                 1.1263,                 1.0582,                0.45796,                0.86143,                0.52551,                0.36324,                 1.0471,                 1.1212,                 1.0897,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.0146,                  1.153,                 1.0642,                0.45712,                0.88745,                0.53273,                 0.3812,                0.99506,                 1.0793,                 1.0641,              0.0010949,              0.0010949,              0.0010949
                     28,                0.98811,                 1.1243,                 1.0543,                0.46632,                0.94464,                0.53733,                0.38971,                0.96797,                 1.0532,                  1.069,              0.0010729,              0.0010729,              0.0010729
                     29,                  0.934,                 1.0998,                 1.0301,                0.45359,                0.87957,                 0.5387,                0.39434,                 1.0074,                 1.0627,                 1.0626,              0.0010509,              0.0010509,              0.0010509
                     30,                0.95675,                 1.1217,                 1.0308,                0.49344,                0.90112,                0.59704,                0.43465,                0.97694,                 1.0477,                 1.0733,              0.0010289,              0.0010289,              0.0010289
                     31,                 0.9614,                 1.0886,                  1.023,                0.47822,                0.91377,                 0.5658,                0.41309,                0.98957,                 1.0649,                 1.0702,              0.0010069,              0.0010069,              0.0010069
                     32,                0.90867,                 1.0743,                  1.023,                 0.4812,                0.81129,                0.56187,                  0.415,                0.97736,                 1.0515,                 1.0561,             0.00098486,             0.00098486,             0.00098486
                     33,                0.95487,                 1.0668,                 1.0455,                0.47643,                 0.8711,                 0.5901,                0.43284,                0.97457,                 1.0168,                 1.0822,             0.00096286,             0.00096286,             0.00096286
                     34,                0.94591,                 1.0676,                 1.0426,                0.47557,                0.85236,                0.56978,                0.41532,                0.98025,                 1.0584,                 1.0622,             0.00094085,             0.00094085,             0.00094085
                     35,                0.97032,                 1.0713,                 1.0466,                0.44013,                0.92275,                0.60306,                0.41587,                0.98644,                 1.0425,                 1.0642,             0.00091885,             0.00091885,             0.00091885
                     36,                0.93129,                 1.0486,                 1.0344,                0.46268,                0.91387,                0.58095,                0.40764,                 1.0156,                  1.024,                 1.0803,             0.00089685,             0.00089685,             0.00089685
                     37,                0.93541,                 1.0615,                 1.0367,                0.47737,                0.81257,                0.54637,                0.39362,                 1.0047,                 1.0659,                 1.0766,             0.00087484,             0.00087484,             0.00087484
                     38,                0.91783,                  1.021,                 1.0275,                0.48981,                 0.8286,                0.56906,                0.40937,                0.95722,                 1.0528,                 1.0584,             0.00085284,             0.00085284,             0.00085284
