                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6251,                 3.2201,                 1.4412,                0.41475,                0.69157,                0.44671,                0.30068,                 1.1639,                 1.5212,                 1.1827,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.5335,                 1.9803,                 1.3609,                0.42784,                0.75636,                0.48985,                  0.305,                 1.3488,                 1.4102,                 1.2416,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.5977,                 1.9612,                 1.4081,                0.44084,                0.72465,                0.47295,                0.32055,                 1.2095,                 1.7566,                  1.205,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.5027,                 1.8432,                 1.3658,                0.43443,                0.80587,                0.49131,                0.33679,                 1.1013,                 1.2792,                  1.111,               0.001601,               0.001601,               0.001601
                      5,                 1.4746,                 1.8151,                 1.3626,                0.43452,                0.69893,                0.47795,                0.30513,                  1.251,                 1.4126,                 1.2126,               0.001579,               0.001579,               0.001579
                      6,                 1.4758,                  1.802,                 1.3621,                 0.4244,                0.76344,                0.48592,                0.32424,                 1.1926,                 1.3444,                 1.1892,               0.001557,               0.001557,               0.001557
                      7,                 1.4645,                 1.7733,                 1.3476,                0.45174,                 0.8229,                0.50288,                0.35987,                 1.0884,                 1.2228,                 1.1437,               0.001535,               0.001535,               0.001535
                      8,                 1.4048,                 1.7112,                 1.3099,                0.47261,                0.82338,                0.50882,                0.36227,                 1.0355,                 1.1822,                 1.0615,               0.001513,               0.001513,               0.001513
                      9,                  1.375,                 1.6809,                 1.3026,                0.46102,                0.78758,                0.48867,                0.32822,                 1.1538,                 1.2774,                 1.1395,               0.001491,               0.001491,               0.001491
                     10,                 1.3941,                 1.6692,                 1.2879,                0.46063,                0.79156,                0.50821,                0.36675,                 1.0875,                 1.1789,                 1.0872,               0.001469,               0.001469,               0.001469
                     11,                 1.3336,                 1.6272,                   1.28,                 0.4413,                0.86997,                0.49256,                0.35632,                  1.039,                 1.1701,                 1.0698,               0.001447,               0.001447,               0.001447
                     12,                 1.3651,                 1.6593,                 1.2918,                0.47012,                 0.8705,                0.50137,                0.35528,                 1.0537,                 1.1679,                 1.0817,               0.001425,               0.001425,               0.001425
                     13,                 1.3016,                 1.5865,                 1.2516,                0.45421,                0.83631,                0.47761,                0.32842,                 1.0781,                 1.1941,                 1.1457,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.3379,                 1.6283,                 1.2651,                0.46727,                0.84448,                0.48767,                0.35188,                 1.0685,                 1.1578,                 1.0925,              0.0013809,              0.0013809,              0.0013809
                     15,                  1.312,                  1.578,                  1.253,                0.45057,                0.81847,                0.46887,                 0.3251,                 1.0627,                 1.1845,                 1.0939,              0.0013589,              0.0013589,              0.0013589
                     16,                   1.27,                 1.5548,                 1.2315,                 0.4557,                0.84389,                0.48692,                0.34537,                 1.0457,                  1.148,                 1.0836,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.3203,                 1.5961,                 1.2747,                0.47119,                0.86931,                0.52994,                0.37647,                  1.042,                 1.1409,                 1.1028,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.2961,                 1.5915,                 1.2524,                 0.4708,                0.83601,                0.53095,                0.39432,                 1.0371,                  1.166,                 1.0859,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.3166,                  1.602,                 1.2593,                0.45323,                 0.8897,                0.53096,                0.38255,                  1.031,                 1.1111,                 1.0746,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.2781,                 1.5361,                  1.244,                0.46891,                0.77654,                0.50493,                 0.3599,                 1.0581,                 1.1582,                 1.0942,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.2286,                 1.5084,                 1.2111,                0.47619,                0.87758,                0.50747,                0.37214,                 1.0183,                  1.089,                 1.0561,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.2666,                 1.5535,                 1.2365,                0.47228,                0.85326,                0.50909,                0.36886,                0.99834,                 1.0853,                 1.0732,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.2255,                 1.5066,                 1.2243,                0.45774,                0.87516,                0.51857,                0.37123,                 1.0189,                 1.1621,                 1.0858,              0.0011829,              0.0011829,              0.0011829
                     24,                  1.233,                 1.5045,                  1.221,                0.45966,                0.88745,                0.51434,                0.37821,                0.99562,                 1.1131,                 1.0563,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.2541,                 1.5174,                 1.2327,                0.44999,                0.83541,                0.50935,                0.36482,                 1.0333,                 1.1387,                 1.0692,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.2019,                  1.499,                 1.1878,                0.46797,                0.83985,                0.50271,                0.37513,                0.99225,                 1.0789,                 1.0651,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.2518,                 1.5281,                 1.2402,                0.46193,                0.83644,                0.52155,                0.38074,                 1.0322,                  1.101,                 1.1112,              0.0010949,              0.0010949,              0.0010949
                     28,                 1.1956,                 1.4777,                 1.2012,                0.45445,                0.81817,                0.54246,                0.40659,                 1.0047,                 1.0929,                 1.0746,              0.0010729,              0.0010729,              0.0010729
                     29,                 1.1754,                 1.4651,                 1.1797,                0.47639,                0.89226,                0.54176,                0.39926,                0.97345,                 1.0753,                 1.0588,              0.0010509,              0.0010509,              0.0010509
                     30,                 1.1882,                 1.4518,                  1.195,                0.45193,                0.89563,                0.50452,                0.36742,                  1.023,                 1.0433,                 1.0638,              0.0010289,              0.0010289,              0.0010289
                     31,                 1.1597,                 1.4242,                 1.1666,                0.46844,                0.89593,                0.51036,                0.37624,                0.96817,                 1.0682,                 1.0594,              0.0010069,              0.0010069,              0.0010069
                     32,                 1.2154,                 1.4753,                 1.2076,                0.45373,                0.91317,                0.52048,                0.38981,                0.96491,                 1.0631,                 1.0343,             0.00098486,             0.00098486,             0.00098486
                     33,                 1.1854,                 1.4735,                 1.2016,                 0.4674,                0.91203,                0.53146,                0.38355,                0.99828,                 1.0431,                 1.0624,             0.00096286,             0.00096286,             0.00096286
                     34,                 1.1599,                 1.4367,                 1.1655,                0.47278,                0.89593,                0.53822,                0.40106,                0.94433,                 1.0697,                 1.0388,             0.00094085,             0.00094085,             0.00094085
                     35,                 1.1545,                 1.4308,                 1.1722,                0.45864,                 0.9044,                0.54127,                0.39461,                 1.0204,                 1.0586,                 1.0771,             0.00091885,             0.00091885,             0.00091885
                     36,                 1.1664,                 1.4398,                 1.1861,                0.46931,                0.86114,                0.51819,                 0.3791,                0.98566,                 1.0464,                 1.0481,             0.00089685,             0.00089685,             0.00089685
                     37,                 1.1264,                 1.4409,                 1.1693,                0.45331,                0.91317,                0.51725,                0.38819,                 1.0233,                 1.0304,                 1.1069,             0.00087484,             0.00087484,             0.00087484
                     38,                  1.146,                 1.4382,                  1.165,                0.47922,                0.85806,                0.54318,                0.40745,                0.94514,                 1.0297,                 1.0352,             0.00085284,             0.00085284,             0.00085284
                     39,                 1.1359,                 1.4257,                 1.1854,                0.46868,                0.92608,                0.56007,                0.42021,                0.98328,                 1.0195,                 1.0721,             0.00083083,             0.00083083,             0.00083083
                     40,                 1.1349,                 1.4329,                 1.1676,                 0.4718,                0.92224,                0.53355,                0.38186,                0.99595,                 1.0199,                  1.099,             0.00080883,             0.00080883,             0.00080883
                     41,                 1.0906,                 1.3834,                 1.1585,                0.50248,                0.86193,                0.53278,                0.39002,                0.96518,                 1.0176,                 1.0799,             0.00078682,             0.00078682,             0.00078682
                     42,                 1.1308,                 1.3892,                 1.1687,                0.47784,                0.92165,                0.54884,                0.39811,                0.93868,                0.97512,                 1.0603,             0.00076482,             0.00076482,             0.00076482
                     43,                 1.1043,                 1.3876,                 1.1425,                0.46986,                0.89563,                0.54422,                0.39239,                0.98825,                 1.0364,                 1.0669,             0.00074282,             0.00074282,             0.00074282
                     44,                 1.0799,                 1.3728,                  1.139,                0.45864,                0.91291,                0.54707,                 0.4065,                0.97791,                0.99837,                 1.0954,             0.00072081,             0.00072081,             0.00072081
                     45,                 1.1064,                  1.377,                 1.1571,                0.47004,                0.87021,                0.55332,                0.40281,                0.98495,                 1.0125,                 1.0808,             0.00069881,             0.00069881,             0.00069881
                     46,                 1.1195,                 1.4171,                 1.1683,                  0.471,                0.87898,                0.56438,                0.41161,                0.96725,                 1.0322,                  1.071,              0.0006768,              0.0006768,              0.0006768
                     47,                 1.0918,                 1.3659,                 1.1433,                0.46595,                0.89593,                0.54175,                0.39168,                0.99517,                 1.0366,                 1.0803,              0.0006548,              0.0006548,              0.0006548
                     48,                 1.0885,                 1.3644,                 1.1399,                 0.4657,                0.91192,                0.55525,                0.38912,                 1.0046,                 1.0268,                 1.1036,             0.00063279,             0.00063279,             0.00063279
