                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5477,                 3.5063,                  1.327,                0.25183,                0.65942,                0.32119,                0.21464,                 1.2199,                 2.0943,                 1.1573,             0.00054518,             0.00054518,             0.00054518
                      2,                 1.3566,                 2.2009,                 1.2465,                0.36246,                0.69715,                0.38807,                0.23505,                 1.3201,                 1.8606,                 1.3783,              0.0010863,              0.0010863,              0.0010863
                      3,                 1.3637,                 1.9433,                 1.2669,                0.40913,                0.70575,                 0.4717,                0.30489,                 1.2675,                 1.7379,                 1.2893,              0.0016128,              0.0016128,              0.0016128
                      4,                 1.3151,                 1.8056,                 1.2479,                0.39895,                0.59307,                0.39204,                0.23621,                 1.4346,                 1.8308,                 1.3856,               0.001601,               0.001601,               0.001601
                      5,                 1.2689,                 1.6236,                 1.2098,                0.44228,                0.81995,                0.47465,                0.30789,                 1.2246,                 1.4113,                 1.2181,               0.001579,               0.001579,               0.001579
                      6,                 1.2845,                 1.5622,                 1.2309,                0.40259,                0.84925,                0.50061,                 0.3413,                 1.1581,                 1.3846,                 1.1777,               0.001557,               0.001557,               0.001557
                      7,                 1.3038,                 1.5378,                 1.2554,                 0.3827,                0.68999,                0.41587,                 0.2767,                 1.1984,                 1.5724,                 1.2146,               0.001535,               0.001535,               0.001535
                      8,                   1.17,                 1.4832,                 1.1584,                0.44035,                0.77387,                    0.5,                0.32958,                 1.2165,                 1.4253,                 1.2172,               0.001513,               0.001513,               0.001513
                      9,                 1.2465,                 1.4589,                 1.2009,                0.44587,                0.86427,                0.51007,                 0.3374,                 1.2237,                 1.2797,                 1.2065,               0.001491,               0.001491,               0.001491
                     10,                 1.1901,                 1.4153,                  1.182,                 0.4689,                0.78546,                0.52063,                0.36116,                 1.1605,                 1.2768,                 1.1586,               0.001469,               0.001469,               0.001469
                     11,                 1.1037,                  1.334,                 1.1399,                0.47052,                0.81088,                0.52587,                0.37714,                 1.0435,                 1.2325,                 1.1163,               0.001447,               0.001447,               0.001447
                     12,                 1.1198,                 1.3231,                 1.1559,                0.42275,                0.76007,                0.45252,                0.30319,                 1.1218,                 1.2848,                 1.1447,               0.001425,               0.001425,               0.001425
                     13,                 1.1689,                 1.3308,                 1.1571,                0.43576,                0.75234,                0.51491,                0.35843,                 1.1787,                 1.2864,                 1.1844,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1255,                 1.2994,                 1.1336,                0.45304,                0.86203,                0.54194,                0.38043,                 1.1902,                 1.2011,                 1.1734,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0893,                 1.2646,                 1.1115,                0.45769,                0.86798,                0.53385,                0.37199,                 1.1072,                 1.1535,                 1.1425,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0889,                 1.2844,                 1.0977,                0.45068,                0.85296,                0.52459,                0.35912,                 1.1033,                 1.1693,                 1.1558,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.1097,                 1.2689,                 1.1317,                0.43901,                0.83207,                0.52496,                0.35991,                 1.1019,                 1.1738,                 1.1467,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0501,                 1.2776,                 1.0952,                0.44685,                  0.905,                0.53179,                0.36106,                 1.1113,                 1.1469,                 1.1266,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.0792,                 1.2719,                 1.0981,                0.47588,                0.88775,                0.53177,                 0.3799,                 1.1015,                 1.1361,                 1.1259,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.0404,                 1.2251,                 1.0955,                0.49727,                0.77539,                0.52714,                 0.3763,                 1.0791,                  1.159,                 1.1147,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.0585,                  1.224,                 1.0858,                0.45436,                0.91923,                0.51264,                 0.3608,                 1.0782,                 1.1286,                 1.1408,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.1193,                 1.3101,                 1.1553,                0.46014,                0.91131,                0.52399,                0.37236,                 1.0519,                 1.1153,                 1.1172,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.0518,                 1.2487,                 1.1118,                0.45503,                 0.8711,                0.51993,                0.36442,                 1.0451,                 1.1758,                 1.1082,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.0187,                 1.2067,                 1.0729,                 0.4726,                0.84508,                0.52757,                0.37334,                 1.0776,                  1.122,                 1.1182,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.0194,                 1.2102,                 1.0873,                0.44705,                0.93302,                0.52781,                0.36213,                 1.1166,                 1.1147,                 1.1719,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.0527,                 1.1757,                 1.0853,                0.44889,                0.86515,                0.52339,                0.36828,                 1.0763,                 1.1142,                 1.1424,              0.0011169,              0.0011169,              0.0011169
                     27,                 0.9806,                 1.1473,                 1.0554,                0.45762,                 0.8369,                0.53903,                0.38858,                 1.0624,                 1.1061,                 1.1299,              0.0010949,              0.0010949,              0.0010949
                     28,                0.98921,                 1.1482,                 1.0896,                 0.4633,                0.86097,                0.52847,                0.36497,                 1.0794,                 1.1072,                  1.122,              0.0010729,              0.0010729,              0.0010729
                     29,                 0.9776,                 1.1377,                 1.0602,                0.44866,                0.90529,                0.53387,                0.37186,                 1.1009,                  1.114,                  1.155,              0.0010509,              0.0010509,              0.0010509
                     30,                0.98877,                 1.1165,                  1.053,                0.45098,                0.92695,                0.56132,                0.41311,                 1.0159,                 1.1181,                 1.0866,              0.0010289,              0.0010289,              0.0010289
                     31,                 0.9389,                 1.1085,                 1.0258,                0.45718,                0.87927,                0.56297,                0.41706,                 1.0022,                 1.0609,                 1.0779,              0.0010069,              0.0010069,              0.0010069
                     32,                0.93784,                 1.1488,                 1.0155,                0.46558,                0.86203,                 0.5371,                0.38454,                 1.0686,                 1.1632,                 1.1287,             0.00098486,             0.00098486,             0.00098486
                     33,                0.93479,                 1.1224,                 1.0351,                0.46219,                0.84927,                0.57397,                0.41153,                0.99679,                 1.0902,                 1.0967,             0.00096286,             0.00096286,             0.00096286
                     34,                0.92053,                 1.1131,                 1.0281,                0.43739,                0.91347,                0.54051,                0.38602,                 1.0033,                 1.0702,                 1.0964,             0.00094085,             0.00094085,             0.00094085
                     35,                0.95357,                 1.1262,                 1.0506,                0.44047,                0.91317,                0.54325,                0.37984,                 1.0735,                 1.1486,                  1.128,             0.00091885,             0.00091885,             0.00091885
                     36,                0.91566,                 1.1147,                 1.0251,                0.49922,                0.75067,                0.56385,                0.40336,                 1.0417,                 1.1199,                 1.1135,             0.00089685,             0.00089685,             0.00089685
                     37,                0.93516,                 1.0722,                 1.0467,                0.46183,                 0.8369,                0.56091,                0.40555,                 1.0068,                 1.0965,                 1.0925,             0.00087484,             0.00087484,             0.00087484
                     38,                 0.9117,                   1.09,                 1.0345,                0.43398,                0.89278,                0.53307,                0.36605,                 1.0465,                 1.0794,                 1.1343,             0.00085284,             0.00085284,             0.00085284
                     39,                0.92717,                 1.0896,                 1.0333,                  0.447,                0.84508,                0.52892,                0.38059,                 1.0199,                  1.121,                 1.1154,             0.00083083,             0.00083083,             0.00083083
                     40,                0.93941,                 1.0864,                 1.0394,                0.43946,                  0.905,                0.54582,                 0.3693,                  1.081,                 1.0767,                 1.1492,             0.00080883,             0.00080883,             0.00080883
                     41,                  0.893,                 1.0526,                 1.0034,                0.43065,                0.90007,                0.53399,                0.37473,                 1.0483,                 1.1201,                   1.13,             0.00078682,             0.00078682,             0.00078682
                     42,                0.92639,                 1.0719,                 1.0232,                0.44464,                0.86717,                0.55834,                0.39428,                 1.0423,                 1.1069,                 1.1206,             0.00076482,             0.00076482,             0.00076482
                     43,                0.90578,                 1.0587,                0.99859,                0.42905,                0.86292,                0.55844,                0.38414,                 1.0559,                 1.0668,                 1.1451,             0.00074282,             0.00074282,             0.00074282
                     44,                0.89017,                 1.0365,                 1.0185,                0.40433,                0.87957,                0.52653,                0.35981,                 1.0806,                 1.1002,                  1.181,             0.00072081,             0.00072081,             0.00072081
                     45,                0.85069,                 1.0163,                0.98923,                0.45747,                0.82517,                0.53521,                0.37391,                 1.0127,                  1.082,                 1.1248,             0.00069881,             0.00069881,             0.00069881
                     46,                0.84957,                 1.0097,                0.99282,                0.46353,                0.91377,                0.57911,                0.41485,                 1.0643,                 1.0514,                 1.1437,              0.0006768,              0.0006768,              0.0006768
                     47,                0.83026,                0.99392,                  0.988,                0.48342,                0.86143,                0.61837,                0.44907,                 1.0367,                 1.0375,                   1.13,              0.0006548,              0.0006548,              0.0006548
                     48,                0.88439,                 1.0295,                 1.0201,                0.47795,                0.82813,                0.59732,                0.42735,                 1.0534,                 1.0573,                 1.1285,             0.00063279,             0.00063279,             0.00063279
                     49,                0.82838,                0.98344,                 1.0034,                0.46462,                  0.905,                0.62813,                0.46255,                 1.0464,                 1.0377,                  1.126,             0.00061079,             0.00061079,             0.00061079
                     50,                0.82476,                0.99803,                0.98426,                0.45513,                0.91778,                0.57353,                0.41247,                 1.0442,                 1.0458,                 1.1437,             0.00058878,             0.00058878,             0.00058878
                     51,                 0.8311,                 1.0051,                0.98929,                0.47698,                 0.7758,                0.55178,                0.38075,                 1.0353,                 1.0343,                 1.1466,             0.00056678,             0.00056678,             0.00056678
                     52,                0.82314,                 0.9683,                0.98028,                0.47985,                 0.9106,                0.58582,                0.41285,                 1.0446,                 1.0529,                 1.1221,             0.00054478,             0.00054478,             0.00054478
                     53,                0.81172,                0.98881,                0.97702,                0.47705,                0.80922,                0.57301,                0.41186,                 1.0258,                 1.0312,                 1.1438,             0.00052277,             0.00052277,             0.00052277
                     54,                0.82293,                0.99144,                 1.0058,                0.49876,                0.80122,                0.57047,                0.40837,                 1.0039,                 1.0657,                 1.1187,             0.00050077,             0.00050077,             0.00050077
                     55,                0.78819,                0.94739,                0.96565,                0.48747,                0.79685,                0.60777,                0.43929,                 1.0356,                 1.0749,                 1.1287,             0.00047876,             0.00047876,             0.00047876
                     56,                0.82756,                0.95448,                0.97745,                0.53314,                0.79364,                0.61118,                0.43287,                 1.0482,                 1.0578,                 1.1788,             0.00045676,             0.00045676,             0.00045676
                     57,                0.79639,                0.91759,                0.97214,                0.48539,                0.80598,                 0.6113,                0.42342,                 1.1115,                 1.0606,                 1.2039,             0.00043475,             0.00043475,             0.00043475
                     58,                0.80862,                0.91009,                 0.9589,                0.50298,                0.78056,                0.60293,                0.41712,                 1.0423,                 1.1283,                 1.1646,             0.00041275,             0.00041275,             0.00041275
                     59,                0.77737,                0.91485,                 0.9597,                0.55233,                0.73174,                0.64239,                0.46405,                 1.0023,                 1.0082,                 1.1229,             0.00039074,             0.00039074,             0.00039074
