                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4192,                 3.0015,                 1.2926,                0.39716,                0.63113,                0.41159,                0.28439,                 1.1637,                 2.0167,                 1.1255,             0.00054905,             0.00054905,             0.00054905
                      2,                 1.3038,                 1.7631,                 1.2135,                0.40991,                0.68852,                0.43009,                0.28028,                 1.3246,                 1.6375,                 1.2578,              0.0010901,              0.0010901,              0.0010901
                      3,                 1.3243,                 1.6601,                 1.2184,                0.42098,                0.55828,                0.36848,                0.25159,                 1.2353,                 1.8493,                 1.2345,              0.0016166,              0.0016166,              0.0016166
                      4,                 1.3475,                 1.6005,                 1.2063,                0.40938,                0.76702,                0.45029,                0.26821,                 1.3615,                 1.4989,                 1.2452,               0.001601,               0.001601,               0.001601
                      5,                  1.252,                 1.4242,                 1.1732,                0.45558,                0.73194,                 0.4878,                 0.3252,                  1.244,                 1.3703,                 1.2209,               0.001579,               0.001579,               0.001579
                      6,                 1.2639,                 1.4462,                 1.1828,                0.41569,                0.86114,                0.50235,                0.33532,                 1.1318,                 1.2696,                 1.1068,               0.001557,               0.001557,               0.001557
                      7,                 1.2188,                 1.3774,                 1.1619,                0.42864,                0.85187,                0.48815,                0.33344,                 1.1603,                 1.2941,                   1.16,               0.001535,               0.001535,               0.001535
                      8,                 1.2012,                  1.386,                 1.1609,                0.45025,                 0.8553,                0.49676,                0.34528,                 1.1099,                 1.2037,                 1.1151,               0.001513,               0.001513,               0.001513
                      9,                 1.1971,                 1.3502,                 1.1397,                 0.4573,                0.85296,                0.51831,                0.35598,                 1.1023,                 1.2194,                 1.1151,               0.001491,               0.001491,               0.001491
                     10,                 1.1445,                 1.3195,                 1.0991,                0.42518,                0.85207,                0.54212,                0.37761,                 1.0969,                 1.1516,                   1.11,               0.001469,               0.001469,               0.001469
                     11,                 1.1327,                 1.2815,                 1.1032,                0.45892,                0.84054,                0.50981,                0.34721,                 1.0622,                 1.2285,                 1.0709,               0.001447,               0.001447,               0.001447
                     12,                 1.1013,                 1.2526,                 1.0913,                0.45693,                0.86114,                0.52503,                0.36851,                 1.0694,                 1.1566,                 1.1036,               0.001425,               0.001425,               0.001425
