                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7228,                 3.1552,                 1.6497,                0.41821,                0.54193,                0.40293,                0.25701,                  1.321,                 2.1361,                 1.2545,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.6258,                 2.2592,                 1.6223,                0.37225,                0.65612,                0.42742,                0.27546,                 1.2209,                 1.8976,                 1.1801,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.6613,                 2.2136,                 1.6109,                0.42201,                0.60393,                 0.4196,                0.25946,                 1.3378,                 2.5019,                 1.2974,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.6063,                 2.1147,                 1.6124,                0.43153,                0.78323,                0.45349,                0.29487,                 1.1893,                 1.4658,                 1.1918,               0.001601,               0.001601,               0.001601
                      5,                 1.5937,                 2.0825,                  1.587,                0.43373,                0.84419,                0.52646,                0.34271,                 1.1091,                  1.319,                 1.1295,               0.001579,               0.001579,               0.001579
                      6,                 1.5394,                 2.0359,                 1.5644,                0.46135,                0.84567,                0.52004,                0.35588,                 1.0543,                 1.3628,                 1.1142,               0.001557,               0.001557,               0.001557
                      7,                 1.5323,                 2.0842,                 1.5721,                0.45501,                0.88296,                0.51035,                0.35781,                 1.1134,                  1.384,                 1.1245,               0.001535,               0.001535,               0.001535
                      8,                 1.5113,                 1.9994,                  1.523,                0.44713,                0.82904,                0.50413,                0.35493,                 1.0798,                 1.4035,                 1.1128,               0.001513,               0.001513,               0.001513
                      9,                  1.461,                 1.9817,                 1.5147,                0.45365,                0.81936,                0.50988,                0.34883,                 1.1141,                 1.3253,                 1.1247,               0.001491,               0.001491,               0.001491
                     10,                 1.4445,                 1.9486,                 1.4997,                0.45463,                0.84518,                0.50808,                0.35372,                 1.0953,                 1.2718,                  1.145,               0.001469,               0.001469,               0.001469
                     11,                 1.4334,                 1.9118,                   1.49,                0.48836,                0.71451,                0.48695,                0.34863,                 1.0722,                 1.3468,                 1.1112,               0.001447,               0.001447,               0.001447
                     12,                 1.4037,                 1.8801,                 1.4717,                0.44643,                0.88368,                0.51832,                0.36099,                 1.0708,                 1.4554,                 1.1196,               0.001425,               0.001425,               0.001425
                     13,                 1.4133,                 1.9117,                 1.4806,                0.45336,                0.87481,                0.52607,                0.36985,                 1.0912,                 1.2669,                 1.1216,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.4053,                  1.898,                 1.4638,                 0.4628,                0.88694,                0.51738,                0.35775,                 1.0834,                 1.2501,                 1.1256,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.4055,                 1.9066,                 1.4759,                0.45712,                 0.8366,                0.52075,                0.36322,                  1.052,                 1.2513,                 1.1066,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.3393,                 1.8707,                 1.4316,                0.47667,                0.86965,                0.53351,                0.36743,                 1.0504,                 1.1747,                  1.101,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.3606,                 1.8401,                 1.4419,                0.44941,                0.80999,                0.50789,                0.36089,                 1.0472,                 1.3667,                 1.1046,              0.0013149,              0.0013149,              0.0013149
                     18,                  1.359,                 1.8921,                 1.4394,                0.46988,                0.91512,                0.52796,                0.37133,                 1.0212,                 1.1827,                 1.0844,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.3479,                 1.8398,                 1.4107,                0.46101,                0.91317,                0.52539,                0.38118,                 1.0036,                 1.1857,                 1.0787,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.3382,                 1.8086,                 1.4258,                0.47926,                0.83614,                0.51414,                0.36595,                 1.0715,                 1.1843,                 1.0872,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.3189,                 1.7816,                 1.4023,                0.46562,                0.81876,                0.51897,                0.36988,                 1.0552,                 1.1993,                 1.0923,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.3351,                 1.8481,                 1.4279,                0.45985,                0.86173,                0.56543,                 0.4126,                0.97824,                 1.1844,                 1.0622,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.3182,                 1.8429,                 1.4346,                0.47229,                0.86378,                0.56223,                0.38918,                 1.0733,                 1.1742,                   1.13,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.2685,                 1.7491,                 1.3739,                0.45978,                0.86626,                0.52175,                0.38085,                 1.0186,                 1.1527,                 1.0994,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.3003,                 1.7727,                 1.3968,                0.47385,                0.90763,                 0.5477,                0.39489,                 1.0079,                 1.1267,                 1.0792,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.2834,                  1.788,                 1.3834,                0.46082,                0.82724,                0.50358,                0.36435,                 1.0404,                 1.3052,                 1.1242,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.2689,                 1.7625,                 1.3916,                0.47143,                0.88852,                0.55539,                0.40346,                0.97403,                 1.1286,                 1.0723,              0.0010949,              0.0010949,              0.0010949
                     28,                 1.2587,                 1.7361,                 1.3652,                0.45867,                0.82694,                0.51586,                0.37029,                 1.0751,                 1.2065,                 1.1292,              0.0010729,              0.0010729,              0.0010729
                     29,                 1.2503,                 1.7543,                 1.3795,                0.46972,                0.82317,                0.53297,                0.37616,                 1.0684,                  1.134,                 1.1372,              0.0010509,              0.0010509,              0.0010509
                     30,                 1.2766,                 1.7476,                 1.3799,                0.45834,                0.86913,                0.48791,                0.34461,                 1.0252,                  1.173,                 1.0812,              0.0010289,              0.0010289,              0.0010289
                     31,                 1.2715,                 1.7689,                 1.3736,                0.47194,                0.89652,                0.52702,                 0.3781,                 1.0014,                 1.1387,                  1.085,              0.0010069,              0.0010069,              0.0010069
                     32,                 1.2593,                 1.7553,                 1.3744,                0.47054,                0.80969,                0.52411,                 0.3745,                0.96602,                 1.1588,                 1.0816,             0.00098486,             0.00098486,             0.00098486
                     33,                  1.262,                 1.7326,                 1.3882,                0.46425,                0.82956,                0.50658,                0.35954,                 1.0163,                 1.2566,                 1.0992,             0.00096286,             0.00096286,             0.00096286
                     34,                 1.2423,                 1.7333,                 1.3529,                0.46308,                0.87838,                0.54246,                 0.3961,                0.98001,                 1.1344,                  1.087,             0.00094085,             0.00094085,             0.00094085
                     35,                 1.2039,                 1.7265,                 1.3525,                0.47245,                0.84508,                 0.5453,                0.38755,                 1.0258,                 1.1496,                 1.0991,             0.00091885,             0.00091885,             0.00091885
                     36,                 1.2083,                 1.7267,                 1.3583,                0.47958,                0.86114,                0.53568,                0.39431,                0.96327,                 1.1085,                 1.0642,             0.00089685,             0.00089685,             0.00089685
                     37,                 1.1936,                 1.7002,                 1.3437,                0.46713,                0.91723,                0.54655,                0.40073,                0.96289,                 1.0988,                 1.0662,             0.00087484,             0.00087484,             0.00087484
                     38,                 1.2223,                 1.7257,                 1.3537,                0.47054,                0.86443,                0.54347,                0.39037,                0.99429,                 1.0722,                 1.0986,             0.00085284,             0.00085284,             0.00085284
                     39,                 1.1957,                 1.6656,                 1.3467,                0.47415,                0.88641,                0.51672,                  0.381,                0.96088,                 1.1328,                 1.0772,             0.00083083,             0.00083083,             0.00083083
                     40,                 1.2094,                  1.689,                 1.3584,                0.46691,                0.87255,                0.55813,                0.40611,                0.96799,                 1.0992,                 1.0804,             0.00080883,             0.00080883,             0.00080883
                     41,                 1.1939,                 1.6837,                 1.3427,                0.46944,                0.88805,                0.50159,                0.36174,                0.99038,                 1.1453,                 1.1124,             0.00078682,             0.00078682,             0.00078682
                     42,                 1.1983,                 1.6887,                 1.3431,                0.46915,                0.91397,                 0.5061,                0.35927,                0.96823,                 1.0931,                 1.0937,             0.00076482,             0.00076482,             0.00076482
                     43,                 1.1802,                 1.6732,                 1.3275,                0.47004,                0.87927,                0.55945,                0.41342,                 0.9368,                 1.1026,                 1.0661,             0.00074282,             0.00074282,             0.00074282
                     44,                 1.1809,                 1.6488,                 1.3245,                0.47583,                0.84843,                0.53675,                0.39174,                 1.0015,                 1.1103,                 1.1091,             0.00072081,             0.00072081,             0.00072081
                     45,                 1.1915,                  1.661,                 1.3529,                0.46193,                0.88891,                0.53397,                0.38673,                0.98574,                 1.1753,                 1.0943,             0.00069881,             0.00069881,             0.00069881
                     46,                 1.1975,                 1.6876,                 1.3369,                0.45201,                0.88745,                0.56018,                0.41789,                0.95861,                 1.0989,                 1.0793,              0.0006768,              0.0006768,              0.0006768
                     47,                 1.1732,                 1.6971,                 1.3482,                0.46584,                0.86673,                0.52626,                0.38986,                0.95248,                  1.165,                 1.0871,              0.0006548,              0.0006548,              0.0006548
                     48,                 1.1543,                 1.6767,                 1.3219,                0.47362,                0.92154,                0.54929,                0.38642,                0.99517,                 1.1182,                 1.1144,             0.00063279,             0.00063279,             0.00063279
                     49,                 1.1663,                 1.6482,                 1.3238,                0.45824,                0.91665,                 0.5348,                0.37849,                0.97451,                 1.0989,                  1.097,             0.00061079,             0.00061079,             0.00061079
                     50,                 1.1531,                 1.6198,                 1.3173,                0.47974,                 0.8711,                0.54648,                0.39117,                0.99982,                 1.1124,                 1.1206,             0.00058878,             0.00058878,             0.00058878
                     51,                 1.1323,                 1.6322,                 1.3073,                0.46018,                0.92224,                 0.5231,                0.37646,                 1.0055,                 1.0547,                 1.1329,             0.00056678,             0.00056678,             0.00056678
                     52,                 1.1198,                 1.6147,                 1.3001,                0.43853,                 0.8821,                0.50619,                0.35887,                0.96734,                 1.1568,                 1.0825,             0.00054478,             0.00054478,             0.00054478
                     53,                 1.1037,                 1.6026,                 1.2803,                0.46635,                  0.905,                0.51899,                0.37378,                0.96416,                 1.0723,                 1.0819,             0.00052277,             0.00052277,             0.00052277
                     54,                 1.1031,                 1.5767,                 1.2691,                0.45549,                0.89593,                0.48555,                0.35193,                0.95579,                  1.109,                 1.0842,             0.00050077,             0.00050077,             0.00050077
                     55,                 1.0914,                 1.5873,                 1.2825,                0.47407,                 0.9506,                0.52046,                0.37496,                0.92886,                 1.0918,                 1.0746,             0.00047876,             0.00047876,             0.00047876
                     56,                 1.1003,                 1.5626,                 1.2909,                0.47341,                0.92796,                0.52453,                0.37955,                0.94173,                 1.0742,                 1.0602,             0.00045676,             0.00045676,             0.00045676
                     57,                 1.1503,                 1.6183,                 1.3135,                0.46472,                0.84779,                0.50129,                0.36952,                0.95792,                 1.1021,                 1.0803,             0.00043475,             0.00043475,             0.00043475
                     58,                 1.0974,                 1.5893,                 1.2941,                0.45286,                0.86203,                0.51515,                0.37241,                0.99849,                 1.1244,                 1.1172,             0.00041275,             0.00041275,             0.00041275
                     59,                 1.0682,                 1.5582,                 1.2695,                0.46003,                0.95703,                0.52461,                  0.368,                0.95877,                 1.0902,                 1.0775,             0.00039074,             0.00039074,             0.00039074
                     60,                 1.0911,                 1.5975,                 1.2962,                0.45174,                0.93919,                 0.5251,                0.37364,                0.93843,                 1.0905,                  1.071,             0.00036874,             0.00036874,             0.00036874
                     61,                 1.0945,                 1.6067,                 1.3036,                0.47149,                0.91347,                0.53932,                0.40105,                0.93443,                 1.0773,                 1.0729,             0.00034674,             0.00034674,             0.00034674
                     62,                  1.054,                 1.5854,                 1.2748,                0.46226,                0.88209,                0.51598,                0.36995,                0.92443,                 1.0836,                 1.0732,             0.00032473,             0.00032473,             0.00032473
                     63,                 1.0643,                 1.5831,                 1.2772,                0.47142,                0.87927,                0.54484,                 0.3902,                 0.9495,                 1.1002,                 1.0832,             0.00030273,             0.00030273,             0.00030273
                     64,                 1.0717,                 1.5711,                 1.2692,                0.47202,                0.91727,                0.55787,                 0.4062,                0.94005,                 1.0283,                 1.0751,             0.00028072,             0.00028072,             0.00028072
                     65,                 1.0374,                 1.5483,                 1.2687,                 0.4657,                0.91377,                0.55967,                0.39649,                0.96858,                 1.0779,                 1.1005,             0.00025872,             0.00025872,             0.00025872
                     66,                0.96151,                 1.3933,                 1.2168,                0.45412,                0.94856,                 0.5514,                0.38879,                0.93256,                 1.1052,                 1.0692,             0.00023671,             0.00023671,             0.00023671
                     67,                0.93811,                 1.3405,                 1.2128,                0.48771,                0.84518,                0.55691,                0.41992,                 0.9097,                 1.0638,                 1.0695,             0.00021471,             0.00021471,             0.00021471
                     68,                 0.9173,                  1.315,                 1.1883,                0.46061,                0.92254,                0.58144,                0.42166,                0.89618,                 1.0708,                 1.0534,             0.00019271,             0.00019271,             0.00019271
