                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4637,                 3.0979,                 1.3076,                0.43961,                0.65596,                0.44068,                0.28097,                 1.2178,                 2.4406,                 1.1613,             0.00054982,             0.00054982,             0.00054982
                      2,                   1.27,                  1.737,                 1.1657,                0.46294,                0.79245,                 0.4762,                0.31118,                 1.2208,                 1.4736,                 1.1977,              0.0010909,              0.0010909,              0.0010909
                      3,                 1.3117,                 1.6906,                 1.2027,                0.39931,                0.69937,                0.45515,                0.29441,                 1.1434,                 1.4272,                 1.1575,              0.0016173,              0.0016173,              0.0016173
                      4,                 1.2528,                 1.5141,                 1.1721,                0.44633,                0.80382,                0.47471,                0.32662,                  1.155,                 1.3515,                 1.1354,               0.001601,               0.001601,               0.001601
                      5,                  1.226,                 1.4633,                 1.1491,                0.41609,                0.77059,                0.45874,                0.30036,                 1.1178,                 1.3368,                 1.1244,               0.001579,               0.001579,               0.001579
                      6,                 1.2442,                 1.3883,                 1.1679,                0.45579,                0.73283,                0.46876,                0.32125,                 1.1725,                 1.3786,                 1.1556,               0.001557,               0.001557,               0.001557
                      7,                 1.1975,                 1.4025,                 1.1477,                0.43427,                0.84567,                0.49611,                0.34642,                 1.0254,                 1.2478,                 1.0696,               0.001535,               0.001535,               0.001535
                      8,                 1.1892,                 1.3492,                 1.1388,                0.44508,                0.74918,                0.46343,                0.32724,                 1.1482,                 1.3218,                 1.1569,               0.001513,               0.001513,               0.001513
                      9,                 1.1436,                 1.2769,                  1.107,                0.43986,                0.89622,                0.52753,                0.34644,                 1.1495,                 1.1739,                 1.1234,               0.001491,               0.001491,               0.001491
                     10,                 1.1942,                 1.3036,                 1.1527,                 0.4357,                0.81787,                0.48013,                0.34194,                 1.1048,                 1.2353,                 1.1361,               0.001469,               0.001469,               0.001469
                     11,                 1.1339,                 1.2562,                  1.119,                0.46082,                0.88715,                0.52174,                0.37079,                 1.0181,                 1.1542,                 1.0744,               0.001447,               0.001447,               0.001447
                     12,                 1.1537,                 1.2652,                 1.1464,                0.47422,                0.88112,                0.52527,                0.38798,                 1.0174,                 1.1436,                 1.0777,               0.001425,               0.001425,               0.001425
                     13,                 1.0998,                 1.2568,                 1.1231,                0.44941,                0.84538,                0.51472,                0.35692,                 1.0614,                 1.1561,                 1.1074,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1309,                 1.2428,                 1.1326,                0.46236,                0.85296,                0.53074,                0.37382,                 1.1334,                 1.1583,                 1.1213,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0673,                 1.2012,                 1.0837,                 0.4611,                0.80304,                0.50389,                0.36542,                 1.0171,                 1.2394,                 1.0683,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0487,                 1.1783,                 1.0836,                0.44694,                0.83601,                0.49226,                0.33941,                 1.0732,                 1.1763,                 1.1221,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0898,                 1.2124,                 1.0896,                0.45705,                0.89265,                0.52537,                0.39035,                 1.0419,                 1.1168,                 1.0891,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0621,                 1.1449,                 1.0728,                0.48136,                0.84919,                0.52681,                0.39028,                 1.0347,                 1.0874,                 1.0892,              0.0012929,              0.0012929,              0.0012929
