                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4308,                 2.7825,                 1.2552,                 0.4155,                0.75007,                0.48337,                0.31357,                 1.1517,                  1.671,                 1.2162,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.2889,                 1.6754,                 1.1966,                 0.4755,                 0.7212,                0.50729,                0.34019,                 1.2475,                 1.3672,                 1.2058,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.2989,                 1.5717,                 1.1941,                0.45346,                0.71091,                0.48635,                0.34381,                 1.1533,                 1.6922,                 1.1469,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.2701,                 1.4617,                 1.1932,                0.44601,                0.77952,                0.48102,                0.35405,                 1.1014,                 1.3486,                 1.1379,               0.001601,               0.001601,               0.001601
                      5,                 1.2518,                 1.4585,                 1.2007,                0.37717,                0.83061,                0.45455,                0.30955,                 1.0847,                 1.4404,                 1.1029,               0.001579,               0.001579,               0.001579
                      6,                 1.1811,                 1.3615,                 1.1513,                0.45919,                0.82232,                0.47874,                0.32688,                 1.1001,                 1.2116,                 1.1095,               0.001557,               0.001557,               0.001557
                      7,                 1.1998,                 1.3406,                 1.1525,                0.45603,                0.81693,                0.50212,                 0.3489,                 1.1043,                 1.2499,                 1.1084,               0.001535,               0.001535,               0.001535
                      8,                 1.1711,                 1.3219,                 1.1287,                0.46888,                0.80969,                0.49374,                 0.3473,                 1.1895,                 1.2228,                  1.158,               0.001513,               0.001513,               0.001513
                      9,                 1.1439,                 1.3082,                  1.128,                0.45462,                0.85236,                 0.4965,                 0.3635,                 1.0011,                 1.1624,                 1.0681,               0.001491,               0.001491,               0.001491
                     10,                 1.1464,                 1.2797,                 1.1108,                0.46865,                0.83601,                0.51824,                0.37321,                 1.0481,                 1.1582,                  1.069,               0.001469,               0.001469,               0.001469
                     11,                 1.1119,                 1.2312,                 1.1287,                0.43728,                0.88686,                0.50745,                0.34492,                  1.122,                  1.231,                 1.1148,               0.001447,               0.001447,               0.001447
                     12,                 1.0904,                 1.2451,                 1.1005,                0.46195,                0.88745,                0.51471,                0.34802,                 1.0418,                 1.1224,                 1.0899,               0.001425,               0.001425,               0.001425
                     13,                 1.0847,                 1.2462,                 1.1085,                0.46437,                0.81029,                0.47496,                0.34512,                 1.1166,                 1.2543,                  1.128,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.0962,                 1.2152,                 1.0894,                0.46675,                0.87927,                 0.5317,                0.38203,                 1.0354,                 1.1126,                 1.0762,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0918,                 1.2033,                 1.0934,                 0.4691,                0.83571,                0.52991,                0.37381,                 1.1194,                  1.143,                 1.1262,              0.0013589,              0.0013589,              0.0013589
                     16,                  1.066,                 1.1939,                 1.0786,                 0.4741,                0.84359,                0.51819,                0.37499,                0.99787,                 1.0949,                 1.0572,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0658,                 1.1644,                 1.0761,                0.46462,                0.87868,                0.53832,                0.39802,                 1.0358,                 1.1186,                 1.0789,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0607,                 1.1927,                 1.0856,                0.47988,                0.85296,                0.52407,                0.39407,                0.98792,                 1.0903,                  1.063,              0.0012929,              0.0012929,              0.0012929
                     19,                  1.057,                 1.2003,                 1.0908,                0.46044,                0.91235,                0.51086,                 0.3719,                 1.0132,                 1.0826,                  1.069,              0.0012709,              0.0012709,              0.0012709
