                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6196,                 3.3911,                 1.4574,                0.46334,                0.69833,                0.46108,                0.32096,                 1.1339,                 1.5702,                 1.1795,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.4742,                 1.9954,                 1.3484,                0.45271,                 0.7642,                0.47212,                0.31558,                 1.2273,                 1.4652,                 1.2252,              0.0010914,              0.0010914,              0.0010914
                      3,                  1.458,                  1.851,                 1.3282,                0.42477,                0.78267,                0.48491,                0.33241,                 1.1505,                 1.8508,                 1.1761,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.4502,                 1.7589,                 1.3255,                0.42211,                0.58811,                0.42094,                0.27893,                    1.3,                 1.5331,                 1.2266,               0.001601,               0.001601,               0.001601
                      5,                 1.4432,                 1.7399,                 1.3318,                0.43563,                0.82753,                0.48042,                0.31235,                 1.2075,                 1.3631,                 1.1738,               0.001579,               0.001579,               0.001579
                      6,                  1.419,                 1.7053,                 1.3149,                0.44398,                0.80152,                0.50052,                0.35161,                  1.087,                 1.2705,                 1.1467,               0.001557,               0.001557,               0.001557
                      7,                 1.4019,                 1.6945,                 1.3033,                0.44038,                0.84508,                0.49758,                0.34738,                 1.0658,                 1.1861,                 1.1156,               0.001535,               0.001535,               0.001535
                      8,                 1.3567,                 1.6433,                 1.2724,                0.45188,                0.85326,                0.50885,                 0.3724,                 1.0458,                 1.1799,                 1.0982,               0.001513,               0.001513,               0.001513
                      9,                 1.3109,                 1.6121,                 1.2607,                0.45235,                0.88689,                0.52366,                0.37855,                 1.0442,                 1.1724,                 1.0791,               0.001491,               0.001491,               0.001491
                     10,                 1.3605,                 1.5927,                 1.2581,                0.46218,                0.81728,                0.49534,                0.33203,                 1.1534,                 1.2137,                 1.1098,               0.001469,               0.001469,               0.001469
                     11,                  1.292,                  1.533,                 1.2515,                0.45726,                0.85296,                0.49574,                0.34799,                 1.0531,                 1.1845,                 1.0999,               0.001447,               0.001447,               0.001447
                     12,                 1.2749,                 1.5345,                 1.2468,                0.45729,                0.91286,                0.51241,                0.35944,                  1.059,                 1.1461,                 1.1117,               0.001425,               0.001425,               0.001425
                     13,                 1.2622,                 1.5478,                 1.2343,                0.45531,                0.88715,                 0.5205,                0.36318,                 1.1358,                 1.1332,                 1.1424,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.2712,                 1.5354,                 1.2239,                0.46828,                0.85385,                0.53303,                 0.3762,                 1.0292,                 1.0954,                 1.0735,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.2256,                 1.4824,                 1.1879,                0.42565,                0.84419,                0.51521,                0.36168,                 1.1574,                 1.2279,                 1.1302,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.2389,                 1.4888,                 1.1994,                0.45116,                0.86991,                0.48902,                0.34431,                 1.0426,                 1.1309,                 1.0913,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.2382,                 1.5072,                   1.22,                0.44836,                0.82647,                 0.5086,                0.34368,                 1.1216,                 1.1613,                 1.1602,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.2615,                 1.5144,                  1.226,                0.45104,                0.92717,                0.52256,                0.38513,                 1.0297,                 1.1204,                 1.0821,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.2392,                 1.4963,                 1.2079,                0.43957,                0.88017,                 0.5146,                0.37042,                0.98917,                 1.1476,                 1.0496,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.2183,                 1.4608,                  1.195,                0.45006,                0.88775,                0.52985,                0.38157,                 1.0467,                 1.0781,                 1.0711,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.2046,                 1.4475,                 1.1789,                 0.4827,                 0.8946,                0.51713,                0.36942,                   1.04,                 1.0537,                  1.087,              0.0012269,              0.0012269,              0.0012269
                     22,                  1.206,                 1.4591,                  1.187,                0.47787,                  0.898,                 0.5225,                0.37382,                0.99856,                 1.0446,                 1.0602,              0.0012049,              0.0012049,              0.0012049
                     23,                  1.168,                 1.4518,                 1.1891,                0.45657,                0.85266,                0.52824,                0.37997,                 1.0109,                 1.1374,                 1.0756,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.1586,                 1.4197,                 1.1733,                  0.466,                 0.8705,                0.49973,                0.35676,                 1.0472,                 1.1141,                 1.0879,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.1968,                 1.4327,                 1.1976,                0.47192,                0.84419,                0.54226,                0.40511,                 1.0142,                 1.1222,                 1.0878,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.1564,                 1.4192,                 1.1623,                0.47225,                0.90529,                 0.5259,                0.36764,                0.99381,                 1.0806,                  1.071,              0.0011169,              0.0011169,              0.0011169
