                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5117,                 3.0819,                 1.3359,                0.33759,                  0.521,                0.29838,                0.18876,                 1.4371,                 2.0174,                 1.2219,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.3947,                 1.9667,                 1.2809,                0.41298,                0.78227,                0.44696,                0.27038,                 1.3158,                  1.514,                 1.2318,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.4206,                 1.7535,                 1.2826,                0.44723,                0.61062,                0.43943,                0.29187,                 1.2535,                 1.6342,                 1.2639,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.3622,                 1.6156,                  1.266,                0.42469,                0.80745,                0.50161,                0.32377,                 1.2624,                 1.3496,                 1.2183,               0.001601,               0.001601,               0.001601
                      5,                 1.3051,                 1.5347,                 1.2532,                0.42635,                 0.8091,                 0.4484,                0.28029,                 1.2608,                 1.3694,                 1.2092,               0.001579,               0.001579,               0.001579
                      6,                 1.2959,                 1.5103,                 1.2343,                0.43255,                0.78486,                0.50255,                0.33564,                 1.1344,                 1.3222,                 1.1356,               0.001557,               0.001557,               0.001557
                      7,                 1.2825,                 1.5056,                 1.2241,                0.47877,                0.81232,                0.51732,                0.36882,                 1.0548,                 1.2196,                 1.0954,               0.001535,               0.001535,               0.001535
                      8,                 1.2435,                 1.4561,                 1.1878,                0.45287,                0.86114,                0.51724,                0.36933,                 1.0891,                 1.1564,                  1.113,               0.001513,               0.001513,               0.001513
                      9,                 1.1814,                 1.4348,                 1.1819,                0.46036,                0.86173,                0.55315,                0.39688,                 1.0618,                 1.1746,                 1.1049,               0.001491,               0.001491,               0.001491
                     10,                 1.1971,                 1.3868,                 1.1592,                0.46733,                0.84822,                0.50656,                0.36809,                  1.021,                 1.1889,                 1.0855,               0.001469,               0.001469,               0.001469
