                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4095,                 2.7506,                 1.2526,                0.42365,                0.60363,                0.39333,                0.25855,                 1.2336,                 1.8757,                 1.1619,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.3015,                 1.6867,                 1.2013,                0.41157,                0.70384,                0.46753,                0.31545,                 1.1574,                 1.5526,                 1.1642,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.3277,                 1.5731,                 1.2247,                0.36951,                0.75647,                0.43885,                0.29808,                  1.176,                 1.6112,                 1.1675,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.2694,                 1.4546,                 1.2009,                0.44723,                0.83541,                0.47779,                0.31524,                 1.2446,                 1.3579,                  1.207,               0.001601,               0.001601,               0.001601
                      5,                 1.2804,                 1.4645,                  1.215,                0.43617,                0.78341,                0.51927,                0.32564,                 1.2098,                 1.3603,                 1.1678,               0.001579,               0.001579,               0.001579
                      6,                 1.2097,                 1.3832,                 1.1623,                0.41299,                0.78065,                 0.4986,                0.35192,                 1.0637,                 1.2758,                 1.0965,               0.001557,               0.001557,               0.001557
                      7,                 1.2089,                  1.338,                 1.1591,                0.45772,                0.77019,                0.50073,                0.36224,                 1.0949,                 1.2162,                 1.1185,               0.001535,               0.001535,               0.001535
                      8,                 1.1592,                 1.3141,                 1.1294,                0.45842,                0.83998,                 0.5112,                0.37148,                 1.0258,                 1.1539,                 1.0659,               0.001513,               0.001513,               0.001513
                      9,                 1.1447,                 1.2906,                 1.1303,                0.45803,                0.87179,                0.51473,                0.35336,                 1.0914,                 1.1743,                 1.1242,               0.001491,               0.001491,               0.001491
                     10,                 1.1302,                 1.2733,                 1.1063,                0.46897,                0.87547,                0.52334,                0.36355,                 1.0794,                 1.1504,                 1.1111,               0.001469,               0.001469,               0.001469
                     11,                 1.1131,                 1.2376,                 1.1256,                 0.4672,                0.80697,                0.52267,                0.35842,                 1.0879,                  1.191,                  1.103,               0.001447,               0.001447,               0.001447
                     12,                 1.1248,                 1.2439,                 1.1173,                0.46455,                0.83571,                0.51903,                0.37733,                 1.0095,                  1.136,                 1.0721,               0.001425,               0.001425,               0.001425
                     13,                 1.0864,                 1.2092,                 1.1024,                0.45609,                 0.8708,                0.52703,                0.38072,                 1.0524,                 1.1411,                 1.0749,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.0809,                 1.2087,                 1.0862,                0.47134,                 0.8705,                0.52749,                0.38348,                 1.0201,                 1.0928,                 1.0823,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0713,                 1.1872,                 1.0782,                0.45046,                0.84071,                0.52365,                0.36628,                 1.1463,                 1.1376,                 1.1437,              0.0013589,              0.0013589,              0.0013589
                     16,                  1.039,                 1.1653,                 1.0701,                 0.4685,                0.91567,                0.53932,                0.38233,                 1.0752,                 1.0601,                 1.1092,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0699,                 1.1694,                 1.0893,                0.44677,                 0.8295,                0.50809,                0.36668,                  1.065,                 1.1457,                 1.1027,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0443,                 1.1971,                 1.0809,                0.44554,                0.87927,                0.54387,                0.39395,                 1.0267,                 1.0957,                 1.0619,              0.0012929,              0.0012929,              0.0012929
                     19,                  1.052,                  1.172,                 1.0717,                0.47098,                0.87021,                0.51801,                0.38026,                 1.0457,                 1.0809,                 1.0719,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.0569,                 1.1643,                 1.0769,                0.46943,                0.82694,                0.52316,                0.38635,                0.99761,                 1.1265,                 1.0659,              0.0012489,              0.0012489,              0.0012489
                     21,                0.99758,                 1.1272,                 1.0465,                0.44949,                 0.8708,                0.48958,                0.35448,                  1.034,                 1.1178,                 1.0873,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.0283,                 1.1475,                 1.0516,                 0.4591,                0.85296,                0.49687,                0.35174,                 1.0958,                  1.146,                 1.1205,              0.0012049,              0.0012049,              0.0012049
                     23,                0.99357,                 1.1492,                 1.0655,                0.47083,                0.86173,                0.51452,                0.37381,                 1.0313,                 1.1484,                 1.0883,              0.0011829,              0.0011829,              0.0011829
                     24,                0.96737,                 1.0939,                 1.0408,                 0.4603,                0.86173,                 0.5264,                0.38846,                 1.0554,                 1.0791,                 1.1069,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.0028,                 1.1228,                 1.0581,                0.45793,                0.83541,                0.52287,                0.39063,                 1.0251,                 1.1063,                 1.0741,              0.0011389,              0.0011389,              0.0011389
                     26,                0.96944,                 1.1095,                 1.0338,                0.46688,                0.87898,                0.53985,                0.39158,                 1.0089,                 1.0674,                 1.0658,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.0193,                  1.099,                 1.0715,                0.47788,                0.81385,                0.52961,                0.38608,                0.98784,                  1.092,                  1.075,              0.0010949,              0.0010949,              0.0010949
                     28,                0.96544,                 1.0809,                 1.0395,                0.48178,                0.88682,                0.52796,                0.38874,                 1.0113,                 1.0367,                 1.0927,              0.0010729,              0.0010729,              0.0010729
                     29,                0.92842,                  1.072,                 1.0164,                0.47334,                 0.9041,                 0.5258,                0.38213,                 1.0096,                 1.0636,                 1.0733,              0.0010509,              0.0010509,              0.0010509
                     30,                0.96444,                 1.0673,                 1.0357,                0.44306,                0.88715,                0.50296,                0.38356,                 1.0164,                 1.0647,                 1.0966,              0.0010289,              0.0010289,              0.0010289
                     31,                0.95939,                 1.0659,                 1.0244,                0.45175,                0.85206,                0.50583,                0.38725,                0.98754,                 1.1096,                 1.0748,              0.0010069,              0.0010069,              0.0010069
                     32,                0.96956,                 1.0991,                 1.0427,                0.46066,                 0.8705,                0.50248,                0.37222,                0.98603,                 1.0916,                 1.0726,             0.00098486,             0.00098486,             0.00098486
                     33,                0.94581,                 1.0729,                 1.0342,                0.47321,                0.91317,                 0.5167,                0.38517,                0.98318,                 1.0331,                 1.0737,             0.00096286,             0.00096286,             0.00096286
                     34,                0.91841,                 1.0643,                0.99754,                0.45129,                0.91406,                0.53672,                0.40081,                0.95161,                 1.0319,                 1.0479,             0.00094085,             0.00094085,             0.00094085
                     35,                0.92591,                 1.0646,                 1.0108,                0.46379,                0.95045,                0.52814,                0.38108,                0.99994,                 1.0428,                 1.0838,             0.00091885,             0.00091885,             0.00091885
                     36,                0.93325,                 1.0537,                 1.0148,                0.44577,                0.88686,                0.50732,                0.37057,                0.95796,                 1.0537,                 1.0629,             0.00089685,             0.00089685,             0.00089685
                     37,                0.90994,                 1.0519,                   1.01,                0.46837,                0.87838,                0.50751,                0.38791,                0.96359,                 1.0106,                 1.0712,             0.00087484,             0.00087484,             0.00087484
                     38,                0.91888,                 1.0317,                  1.002,                 0.4648,                0.91538,                0.53108,                0.40255,                0.96311,                 1.0086,                 1.0551,             0.00085284,             0.00085284,             0.00085284
                     39,                0.90066,                 1.0187,                  1.015,                0.47441,                0.90831,                0.53881,                 0.4062,                0.96914,                 1.0074,                 1.0746,             0.00083083,             0.00083083,             0.00083083
                     40,                 0.8947,                 1.0213,                 1.0074,                0.46729,                0.89652,                0.51788,                0.39028,                0.95859,                 1.0117,                 1.0602,             0.00080883,             0.00080883,             0.00080883
                     41,                0.86901,                 1.0071,                0.99106,                0.46221,                0.91406,                0.53877,                0.40961,                0.97858,                 1.0121,                 1.0892,             0.00078682,             0.00078682,             0.00078682
                     42,                 0.9164,                 1.0248,                  1.018,                0.45886,                0.88681,                0.50925,                0.37742,                0.96831,                  1.041,                 1.0959,             0.00076482,             0.00076482,             0.00076482
                     43,                 0.9085,                 1.0152,                0.99756,                0.46254,                0.88715,                0.50187,                0.35698,                 1.0517,                 1.0247,                 1.1145,             0.00074282,             0.00074282,             0.00074282
                     44,                0.89165,                 1.0063,                0.99506,                0.47465,                0.88049,                0.51082,                0.37866,                 1.0412,                 1.0291,                 1.1395,             0.00072081,             0.00072081,             0.00072081
                     45,                0.86881,                 1.0027,                 1.0002,                0.45345,                0.85908,                0.51258,                0.38212,                  1.032,                 1.0291,                 1.1265,             0.00069881,             0.00069881,             0.00069881
                     46,                0.87801,                 1.0233,                  1.008,                0.45096,                0.92582,                0.52754,                0.39253,                0.99916,                0.99294,                 1.0942,              0.0006768,              0.0006768,              0.0006768
                     47,                0.85719,                0.98887,                0.98815,                0.45425,                0.88569,                0.48099,                0.35427,                0.97236,                 1.0449,                 1.0832,              0.0006548,              0.0006548,              0.0006548
                     48,                0.85101,                 1.0072,                0.99089,                0.44371,                0.90861,                0.51524,                0.38158,                0.97368,                 1.0111,                 1.0664,             0.00063279,             0.00063279,             0.00063279
                     49,                0.86681,                0.96825,                0.98063,                  0.457,                0.89652,                0.52227,                0.37669,                0.95447,                0.99523,                 1.0611,             0.00061079,             0.00061079,             0.00061079
                     50,                  0.858,                0.97729,                0.99935,                0.45569,                0.93025,                0.48712,                0.36415,                0.94873,                0.99989,                 1.0489,             0.00058878,             0.00058878,             0.00058878
                     51,                0.82631,                0.97744,                0.97719,                0.47159,                0.91317,                0.50705,                0.38007,                0.95684,                0.99382,                 1.0597,             0.00056678,             0.00056678,             0.00056678
                     52,                0.83664,                0.98331,                0.99155,                0.46007,                0.88502,                0.50358,                0.37625,                 0.9694,                 1.0147,                 1.0666,             0.00054478,             0.00054478,             0.00054478
                     53,                0.81129,                0.96559,                0.96435,                0.46805,                 0.9041,                0.49013,                0.37396,                0.96024,                 1.0035,                 1.0818,             0.00052277,             0.00052277,             0.00052277
                     54,                0.82109,                0.96044,                0.97214,                0.46078,                0.92866,                0.50789,                0.37424,                0.98309,                0.99029,                 1.0898,             0.00050077,             0.00050077,             0.00050077
                     55,                 0.7972,                 0.9579,                0.96507,                0.45677,                0.86143,                0.47039,                0.34017,                0.97784,                 1.0326,                 1.0977,             0.00047876,             0.00047876,             0.00047876
                     56,                0.81142,                0.95919,                0.98129,                0.45888,                 0.8938,                0.48817,                0.36393,                0.95998,                 1.0099,                 1.0874,             0.00045676,             0.00045676,             0.00045676
                     57,                0.83617,                0.95832,                0.98468,                0.45726,                 0.9143,                0.49633,                0.37042,                 0.9732,                  1.019,                 1.0883,             0.00043475,             0.00043475,             0.00043475
                     58,                0.78529,                 0.9562,                0.96146,                0.46066,                0.93042,                0.49147,                0.36367,                0.94282,                 1.0094,                 1.0588,             0.00041275,             0.00041275,             0.00041275
                     59,                0.77843,                0.93541,                0.96661,                0.45524,                0.93919,                0.49337,                0.36356,                0.96722,                 1.0167,                  1.088,             0.00039074,             0.00039074,             0.00039074
                     60,                0.78761,                0.95186,                0.97065,                0.46265,                 0.9044,                0.50658,                0.37068,                0.96481,                 1.0058,                 1.0781,             0.00036874,             0.00036874,             0.00036874
                     61,                0.75719,                0.92425,                0.95108,                0.46496,                0.92194,                0.49009,                  0.371,                0.97071,                0.98806,                 1.0873,             0.00034674,             0.00034674,             0.00034674
                     62,                0.74633,                0.92397,                0.94988,                0.45699,                0.91734,                0.50479,                0.37661,                0.94156,                 1.0065,                 1.0737,             0.00032473,             0.00032473,             0.00032473
                     63,                0.77157,                0.92466,                0.95493,                0.45249,                0.92718,                0.46385,                0.34536,                0.98721,                      1,                 1.1104,             0.00030273,             0.00030273,             0.00030273
