                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5299,                 2.8102,                 1.3387,                0.44048,                0.76795,                0.47496,                0.30656,                 1.1786,                 1.4408,                 1.1138,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.4243,                 1.8556,                 1.2913,                 0.3966,                0.65299,                0.42429,                0.26175,                 1.3838,                 1.5608,                 1.2646,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.4546,                 1.7664,                 1.3107,                0.42816,                0.73617,                0.47456,                0.32343,                 1.1327,                 1.3537,                 1.1477,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.3855,                 1.6837,                 1.2727,                0.46746,                0.68109,                0.44413,                0.29713,                   1.23,                 1.4704,                 1.2077,               0.001601,               0.001601,               0.001601
                      5,                 1.3822,                 1.6455,                 1.2855,                0.44434,                0.89043,                0.52303,                0.35498,                 1.1208,                 1.2724,                  1.124,               0.001579,               0.001579,               0.001579
                      6,                 1.3168,                 1.5923,                 1.2458,                0.44223,                0.87301,                0.49507,                0.33666,                 1.1356,                 1.1916,                 1.1361,               0.001557,               0.001557,               0.001557
                      7,                 1.3498,                 1.5823,                 1.2511,                0.46336,                0.90354,                0.50074,                0.34124,                 1.1101,                 1.1533,                 1.1306,               0.001535,               0.001535,               0.001535
                      8,                 1.2771,                 1.5062,                   1.19,                0.46449,                0.87779,                0.52124,                0.36753,                 1.0317,                  1.136,                 1.0664,               0.001513,               0.001513,               0.001513
                      9,                 1.2559,                 1.5074,                 1.2114,                0.46634,                0.81876,                0.52064,                0.36101,                 1.1023,                 1.1956,                 1.0986,               0.001491,               0.001491,               0.001491
                     10,                 1.2365,                 1.4743,                 1.1728,                0.47276,                0.80096,                 0.5057,                0.36447,                 1.0655,                 1.2655,                 1.1251,               0.001469,               0.001469,               0.001469
                     11,                 1.2112,                 1.4245,                  1.182,                0.46802,                0.81906,                0.50826,                0.34952,                 1.1178,                 1.1467,                 1.1143,               0.001447,               0.001447,               0.001447
                     12,                 1.2321,                 1.4712,                 1.1952,                0.46405,                0.80241,                0.49954,                0.34301,                 1.1081,                 1.1652,                 1.1177,               0.001425,               0.001425,               0.001425
                     13,                 1.2309,                 1.4405,                 1.1917,                0.45475,                0.81876,                0.52718,                0.35559,                 1.1256,                 1.1494,                 1.1235,              0.0014029,              0.0014029,              0.0014029
                     14,                  1.217,                 1.4391,                 1.1835,                0.46661,                0.86991,                0.52561,                0.35874,                 1.0952,                 1.1306,                 1.0973,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.2034,                 1.4435,                 1.1638,                  0.465,                0.76762,                0.50528,                0.36714,                 1.0679,                 1.2091,                 1.1039,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.1816,                 1.4138,                 1.1598,                0.46111,                0.87792,                 0.5375,                0.38128,                 1.0418,                 1.0897,                  1.083,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.2104,                 1.4214,                 1.1886,                0.46732,                0.82694,                0.52347,                0.36071,                 1.1198,                 1.1669,                 1.1154,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.1872,                 1.4131,                 1.1682,                 0.4573,                0.88726,                0.54045,                0.38821,                 1.0609,                 1.1023,                 1.1011,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.2002,                 1.4159,                 1.1569,                0.44907,                0.92224,                0.51514,                0.36373,                 1.0198,                 1.1139,                 1.0606,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.1641,                 1.3842,                 1.1491,                0.46441,                0.86891,                0.51883,                0.37307,                  1.028,                 1.0942,                 1.0843,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.1361,                 1.3532,                 1.1249,                0.46081,                0.78663,                0.51263,                0.36244,                 1.0958,                  1.154,                 1.0997,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.1639,                 1.3682,                 1.1427,                0.44913,                0.89413,                0.50451,                0.35185,                 1.0923,                 1.1087,                 1.1256,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.1272,                 1.3777,                  1.148,                0.44647,                0.87021,                0.53491,                0.39573,                 1.0218,                 1.0938,                 1.1045,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.1059,                 1.3193,                 1.1255,                0.45897,                0.91614,                0.51954,                0.38383,                0.99888,                 1.0516,                 1.0598,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.1427,                 1.3447,                 1.1519,                0.46823,                0.88715,                0.49289,                0.35936,                 1.0192,                  1.066,                 1.0692,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.1039,                 1.3445,                 1.1229,                0.47771,                0.89418,                0.51429,                0.37895,                0.97951,                  1.065,                 1.0684,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.1229,                 1.3391,                 1.1521,                0.45945,                0.85326,                0.53279,                  0.398,                 1.0037,                 1.0493,                 1.0778,              0.0010949,              0.0010949,              0.0010949
                     28,                 1.0945,                 1.2915,                 1.1164,                 0.4705,                0.87898,                0.52854,                0.39528,                 1.0073,                 1.0563,                 1.0871,              0.0010729,              0.0010729,              0.0010729
                     29,                 1.0489,                  1.265,                 1.0965,                 0.4782,                0.86114,                0.51479,                0.38273,                 1.0165,                 1.0762,                 1.0764,              0.0010509,              0.0010509,              0.0010509
                     30,                 1.0972,                  1.291,                 1.1186,                0.45716,                 0.8816,                0.52443,                0.38651,                0.95396,                 1.0614,                 1.0402,              0.0010289,              0.0010289,              0.0010289
                     31,                 1.0545,                 1.2695,                 1.0906,                 0.4573,                0.87523,                0.53236,                0.39788,                0.99245,                 1.0657,                 1.0685,              0.0010069,              0.0010069,              0.0010069
                     32,                 1.0948,                 1.2906,                 1.1215,                0.46356,                0.87478,                0.51151,                0.37271,                0.98395,                 1.0877,                 1.0487,             0.00098486,             0.00098486,             0.00098486
                     33,                 1.0836,                 1.3095,                 1.1256,                0.48058,                0.87021,                0.54986,                0.39374,                 1.0188,                 1.0383,                 1.0875,             0.00096286,             0.00096286,             0.00096286
                     34,                 1.0424,                 1.2833,                 1.0772,                0.45322,                0.87817,                0.51672,                0.38224,                0.93293,                 1.0328,                 1.0514,             0.00094085,             0.00094085,             0.00094085
                     35,                  1.051,                 1.2825,                 1.0977,                0.46668,                0.91048,                0.51276,                0.39236,                 0.9628,                 1.0194,                 1.0377,             0.00091885,             0.00091885,             0.00091885
                     36,                 1.0437,                 1.2741,                 1.0957,                0.46645,                0.86697,                0.54731,                 0.4013,                0.93864,                 1.0036,                 1.0413,             0.00089685,             0.00089685,             0.00089685
                     37,                 1.0071,                 1.2423,                 1.0791,                0.47012,                0.87875,                0.52014,                0.39367,                0.97902,                 1.0118,                 1.0723,             0.00087484,             0.00087484,             0.00087484
                     38,                 1.0491,                 1.2541,                 1.0783,                0.45677,                0.91292,                0.52788,                0.38899,                0.98389,                 1.0258,                 1.0768,             0.00085284,             0.00085284,             0.00085284
                     39,                 1.0348,                 1.2434,                 1.0984,                0.47815,                0.87306,                0.54497,                0.41287,                0.97803,                 1.0325,                 1.0722,             0.00083083,             0.00083083,             0.00083083
                     40,                 1.0262,                 1.2457,                 1.0905,                0.46796,                0.91926,                0.51991,                0.39097,                0.97412,                 1.0108,                 1.0766,             0.00080883,             0.00080883,             0.00080883
                     41,                0.98926,                  1.198,                 1.0688,                0.45203,                0.91347,                0.52514,                 0.4014,                0.92558,                 1.0414,                 1.0443,             0.00078682,             0.00078682,             0.00078682
                     42,                 1.0306,                 1.2362,                 1.0935,                 0.4586,                 0.8894,                  0.524,                0.39981,                0.92404,                 1.0201,                 1.0525,             0.00076482,             0.00076482,             0.00076482
