                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9688,                 4.0931,                 1.6905,                 0.4382,                0.53694,                0.41289,                0.26305,                 1.4228,                 1.7214,                 1.2505,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.9095,                 2.6286,                 1.5811,                0.37125,                 0.2822,                 0.2502,                0.12806,                 1.6389,                 2.4624,                 1.4641,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.8923,                 2.5705,                 1.6577,                0.33024,                0.35073,                0.28842,                0.15378,                 1.6947,                 5.6403,                 1.4873,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.8867,                 2.4272,                 1.6048,                0.40831,                0.76258,                0.41697,                0.25369,                 1.3024,                 1.6051,                 1.2327,               0.001601,               0.001601,               0.001601
                      5,                 1.8276,                 2.3634,                 1.5833,                0.42366,                0.75243,                0.47537,                0.29998,                 1.2941,                 1.5235,                 1.2029,               0.001579,               0.001579,               0.001579
                      6,                 1.7973,                  2.353,                 1.5632,                0.45061,                0.84419,                0.49265,                 0.3191,                 1.2045,                 1.4685,                 1.1552,               0.001557,               0.001557,               0.001557
                      7,                 1.7639,                 2.1967,                 1.5192,                0.45114,                0.78397,                0.49402,                 0.3162,                 1.3328,                 1.4637,                 1.2436,               0.001535,               0.001535,               0.001535
                      8,                 1.7715,                 2.2729,                 1.5397,                0.43271,                0.79662,                0.48361,                0.34462,                 1.0946,                 1.4057,                 1.1206,               0.001513,               0.001513,               0.001513
                      9,                 1.7354,                 2.2711,                 1.5555,                0.44043,                0.78434,                0.47818,                0.31881,                 1.2039,                 1.3761,                  1.141,               0.001491,               0.001491,               0.001491
                     10,                 1.6771,                  2.178,                 1.4743,                0.44484,                0.80264,                0.52547,                0.36809,                   1.09,                 1.3678,                 1.1079,               0.001469,               0.001469,               0.001469
                     11,                  1.603,                 2.1021,                 1.4682,                0.44637,                0.84448,                0.49843,                0.33275,                 1.1094,                 1.3384,                  1.104,               0.001447,               0.001447,               0.001447
                     12,                 1.6145,                 2.0569,                 1.4688,                0.44623,                0.74978,                0.46121,                0.30956,                 1.2244,                 1.4577,                 1.1793,               0.001425,               0.001425,               0.001425
                     13,                 1.6799,                 2.1386,                 1.5153,                0.43178,                0.86143,                0.47642,                 0.3163,                 1.1145,                 1.3447,                 1.1346,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.6671,                 2.0833,                 1.4704,                0.45727,                0.86052,                0.53111,                0.35299,                 1.1668,                 1.4398,                  1.168,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.6518,                 2.1078,                 1.4899,                 0.4494,                 0.7752,                0.47018,                0.32917,                 1.1022,                 1.4108,                 1.1287,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.6198,                  2.096,                 1.4787,                0.44655,                0.83482,                  0.501,                0.33823,                 1.1517,                 1.3022,                 1.1328,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.6114,                 2.0669,                 1.4528,                0.44151,                0.79768,                0.48531,                  0.343,                 1.0697,                 1.3438,                 1.1076,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.6254,                 2.0534,                  1.479,                0.45776,                0.82342,                0.51227,                0.34777,                 1.1102,                 1.3475,                 1.1307,              0.0012929,              0.0012929,              0.0012929
