                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6253,                 2.8871,                 1.5308,                0.26509,                0.02542,                0.04254,                0.02413,                 2.5389,                 4.5082,                 2.0054,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.5006,                 2.0548,                 1.4387,                0.42254,                0.50981,                0.38347,                0.24024,                  1.346,                 2.1349,                 1.2483,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.5217,                 1.9861,                 1.4514,                0.41175,                0.62087,                0.44117,                0.27204,                 1.4405,                 1.6907,                 1.2782,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.5106,                 1.9143,                 1.4548,                0.45607,                0.74071,                 0.4478,                 0.2935,                 1.2178,                 1.3769,                 1.1784,               0.001601,               0.001601,               0.001601
                      5,                 1.4566,                 1.8957,                 1.4487,                0.45023,                0.77226,                0.48578,                0.33328,                 1.1846,                 1.2992,                 1.1564,               0.001579,               0.001579,               0.001579
                      6,                 1.4495,                  1.851,                  1.434,                0.41041,                0.79033,                0.46893,                0.32873,                 1.1695,                 1.3537,                 1.1531,               0.001557,               0.001557,               0.001557
                      7,                 1.4329,                 1.8474,                 1.4157,                0.44457,                0.84359,                0.49969,                0.35655,                 1.0476,                 1.2304,                 1.0731,               0.001535,               0.001535,               0.001535
                      8,                  1.392,                 1.7613,                 1.3698,                0.44406,                0.86114,                0.51179,                 0.3532,                 1.0717,                 1.1512,                 1.1244,               0.001513,               0.001513,               0.001513
                      9,                 1.3478,                 1.7517,                 1.3621,                0.47468,                0.85129,                0.53034,                0.38013,                 1.0725,                 1.2906,                 1.1077,               0.001491,               0.001491,               0.001491
                     10,                  1.348,                 1.7485,                 1.3611,                0.46126,                0.83224,                0.49278,                 0.3489,                 1.0574,                 1.2103,                 1.1127,               0.001469,               0.001469,               0.001469
                     11,                  1.302,                 1.6923,                 1.3502,                 0.4507,                0.84478,                0.50276,                0.34699,                 1.1334,                 1.2073,                  1.128,               0.001447,               0.001447,               0.001447
                     12,                 1.2967,                 1.6772,                 1.3306,                0.45363,                0.85236,                 0.5003,                0.35969,                0.99744,                 1.2368,                 1.0752,               0.001425,               0.001425,               0.001425
                     13,                 1.2664,                 1.6442,                 1.3118,                0.48647,                0.83903,                0.51583,                0.35348,                 1.1279,                    1.2,                 1.1617,              0.0014029,              0.0014029,              0.0014029
